Ticker,Naive (Prev. Close),ARIMA,Linear Regression,Random Forest,XGBoost,LSTM
AAPL,1.9919701492537305,2.0358107063351807,0.5560693840641959,15.932421114587305,25.927948848745736,15.806226685178336
NVDA,2.175910447761194,2.173868856485705,0.6493338489869275,45.72219564392324,61.21788704174668,59.29420921044564
JNJ,1.025253731343283,1.0507876262212672,0.1321473232759354,0.4021016182848724,0.4930577331229821,1.4260029851636329
PFE,0.2889552238805969,0.2927628881583557,0.0638586963200544,0.1677009483629138,0.1390462861465865,0.4972066314197771
JPM,1.7124179104477597,1.710235252718982,0.5498465485191474,35.23127011324925,35.13946166687224,25.7961211116509
GS,4.64,4.7024875467988805,1.354739129203938,63.27565152566105,61.60793716240817,42.79027264856419
XOM,1.034716417910448,1.033819041709022,0.2726192207746457,3.4886515901817625,7.114201084151198,3.3248106269790743
CVX,1.33155223880597,1.349763654150678,0.3393253469139489,0.6020565773801747,0.7356198958389815,1.6557632060976548
PG,1.059074626865672,1.0735676300551855,0.2391632943743854,9.408440248627173,9.260483977324917,6.163380366025503
KO,0.3767462686567163,0.3801251880492573,0.0769326942509955,2.458631286433485,2.646383156993496,1.9900160468744417
